ZINC_ID,SMILES,receptor,PDB_ID,IC50,pIC50,definition,pIC50_Training,residual_Training,pIC50_CV,residual_CV,pIC50_Ext-cpx,residual_Ext-cpx,pIC50_Ext-cpd,residual_Ext-cpd,MW,ALogP,Publication_DOI
4982,COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3,PDE4B,3O0J,500,6.3,Training,6.317481718,0.017481718,6.3548,0.0548,,,,,275.1521435,-2.3028,10.1021/jm060904g
21914,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5cccs5,PDE4B,3O0J,13,7.89,Training,7.93155895,0.04155895,7.9,0.01,,,,,339.1517667,-0.5549,10.1021/jm060904g
22075,COc1ccc(cc1OC2CCCC2)C(=O)NCC(=O)NO,PDE4B,3O0J,17.9,7.75,Training,7.825975161,0.075975161,7.932,0.182,,,,,308.1372217,-3.34,10.1021/jm970685m
592419,c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,PDE4B,3O0J,0.4,9.4,Training,9.269920262,-0.130079738,9.0876,-0.3124,,,,,402.0349541,1.6865,10.1016/j.bmcl.2012.03.026
599006,COc1ccc(cc1OC2CCCC2)[C@H](Cc3ccncc3)c4ccccc4,PDE4B,3O0J,1.4,8.85,Training,8.82836799,-0.02163201,8.6556,-0.1944,,,,,373.2041791,-1.218,10.1016/j.bmcl.2005.08.036
840571,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5ccccc5Cl,PDE4B,3O0J,20,7.7,Training,7.700821084,0.000821084,7.8455,0.1455,,,,,367.1563734,-0.4012,10.1021/jm060904g
1553121,c1cc(c[n+](c1)[O-])C[C@@H](c2ccc(c(c2)OC3CC3)OC(F)F)c4cnc(s4)C(C(F)(F)F)(C(F)(F)F)[O-],PDE4B,3O0J,0.4,9.4,Training,9.267463847,-0.132536153,9.3176,-0.0824,,,,,569.0781288,1.5924,10.1016/j.bmcl.2005.08.036
3812216,COc1ccc(cc1OC2CCCC2)C3=NO[C@H](C3)C(=O)NO,PDE4B,3O0J,2.1,8.68,Training,8.623710728,-0.056289272,8.4743,-0.2057,,,,,320.1372217,-2.8854,10.1021/jm970685m
3812219,C[C@@]1(CC(=NO1)c2ccc(c(c2)OC3CCCC3)OC)C(=O)NO,PDE4B,3O0J,10.9,7.96,Training,7.786304415,-0.173695585,7.6121,-0.3479,,,,,334.1528718,-2.5737,10.1021/jm970685m
3818556,C1CCC(CC1)CCC[C@H](CC(=O)NO)c2nc(no2)C(=O)N,PDE4B,3O0J,1500,5.82,Training,5.907303923,0.087303923,6.3409,0.5209,,,,,324.1797552,-2.591,10.1016/j.bmcl.2008.10.036
