pIC50,pIC50_pred,definition
6.3,6.317481718,Training
7.89,7.93155895,Training
7.75,7.825975161,Training
9.4,9.269920262,Training
8.85,8.82836799,Training
7.7,7.700821084,Training
9.4,9.267463847,Training
8.68,8.623710728,Training
7.96,7.786304415,Training
5.82,5.907303923,Training
7.65,7.527165986,Training
7.15,7.258190483,Training
6.47,6.660067296,Training
6.19,6.145718579,Training
6.96,6.873580368,Training
6.52,6.70297577,Training
7.1,7.176308395,Training
6.36,6.255606451,Training
6.22,6.219921299,Training
9.7,9.806944826,Training
9.52,9.485103959,Training
8.52,8.641889271,Training
8.96,8.762381995,Training
9.52,9.442353289,Training
9.52,9.393950866,Training
8.64,8.745567831,Training
9.52,9.465567214,Training
9.52,9.43354604,Training
9.4,9.409319887,Training
9.07,9.020629672,Training
8.29,8.416718985,Training
7.43,7.47087402,Training
9.7,9.504704613,Training
10,10.05315225,Training
7.96,8.095503162,Training
8.38,8.345128404,Training
8.92,8.906761206,Training
10,9.979420722,Training
9.52,9.602663149,Training
7.4,7.363837883,Training
8.23,8.181672069,Training
9.4,9.322259263,Training
10,10.02500212,Training
9.27,9.11505519,Training
9.28,9.246614229,Training
9.4,9.310656154,Training
9.22,9.304738896,Training
9.06,9.164410614,Training
8.68,8.774514722,Training
8.77,8.984231737,Training
7.96,7.960225427,Training
8.55,8.520058714,Training
7.35,7.426565436,Training
8.54,8.520955791,Training
8.34,8.287440432,Training
9.24,9.098358255,Training
9.26,9.275650605,Training
9.34,9.357839986,Training
9.24,9.15985923,Training
9.29,9.315207908,Training
7.49,7.678684347,Training
7.77,7.758339994,Training
9.28,9.28808641,Training
7.62,7.672007695,Training
7.72,7.80553537,Training
6.21,6.176280419,Training
7.89,7.830588559,Training
7.81,7.880675423,Training
9.15,9.169995968,Training
8.68,8.705519592,Training
9.4,9.343331277,Training
8.57,8.635556717,Training
6.05,5.846360288,Training
7.69,7.530348271,Training
6.07,5.81533992,Training
5.92,6.014573772,Training
6.89,6.939366477,Training
7.22,7.221159266,Training
6.64,6.661655697,Training
6.1,5.989592592,Training
6.85,6.820639786,Training
6.52,6.667904153,Training
7.05,7.190772065,Training
6.15,6.151426084,Training
9.7,9.643495632,Training
8.7,8.514960013,Training
9.22,9.36647237,Training
9.22,9.336373914,Training
8.72,8.786619214,Training
8.6,8.677537751,Training
9.3,9.367081509,Training
9.3,9.308670524,Training
9.07,8.950430539,Training
8.29,8.342715394,Training
7.47,7.407620817,Training
9.4,9.535989102,Training
10,9.996328579,Training
8.34,8.413401677,Training
7.89,7.924587045,Training
8.17,8.229771993,Training
10,9.874115172,Training
8.64,8.773375654,Training
10,9.935157649,Training
9.52,9.543371454,Training
7.13,7.268770141,Training
8,8.045191012,Training
9.15,9.164255691,Training
10,10.00376439,Training
9.27,9.137630401,Training
9.28,9.251681416,Training
9.3,9.356512632,Training
9.15,9.264778726,Training
9.06,9.15670466,Training
8.57,8.805321985,Training
8.82,8.902293131,Training
8.03,7.854385515,Training
8.74,8.53203145,Training
7.6,7.387198031,Training
8.51,8.500873781,Training
8.34,8.276305146,Training
9.24,9.158682681,Training
9.26,9.304458276,Training
9.34,9.345857798,Training
9.24,9.154607547,Training
9.29,9.314588381,Training
7.49,7.630109074,Training
7.77,7.816418805,Training
9.28,9.304455948,Training
7.87,7.749786182,Training
7.85,7.76574232,Training
6.18,5.941891468,External-complex
5.89,6.296647039,External-complex
6.7,6.969386556,External-complex
8.96,9.002500324,External-complex
8.54,8.377709642,External-complex
10,9.817038145,External-complex
7.89,7.542584614,External-complex
8,7.782458761,External-complex
6.27,6.100881311,External-complex
9.72,9.310309012,External-complex
8.7,8.703075922,External-complex
9.3,9.306206948,External-complex
9.52,9.485103959,External-compound
8.74,8.786619214,External-compound
6.37,6.255606451,External-compound
7.68,7.527165986,External-compound
8.36,8.345128404,External-compound
9.52,9.485103959,External-compound
9.1,9.264778726,External-compound
9.7,9.806944826,External-compound
8.42,8.345128404,External-compound
7.4,7.47087402,External-compound
9.15,9.485103959,External-compound
8.36,8.345128404,External-compound
6.74,6.969386556,External-compound
7.21,7.258190483,External-compound
8,7.782458761,External-compound
9.1,9.264778726,External-compound
8.64,8.705519592,External-compound
9.3,9.304455948,External-compound
8.1,8.229771993,External-compound
6.92,6.939366477,External-compound
